App,Package,Start Time,Duration,Filename
"System",,"Jun 28, 2017 @ 03:08:13 PM","4 sec","greendroid2Trace.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
70,77,71,1,68,0,70,43545,0,71,0,72,0,91,1512000,66,0,67,0,69,0,55,50,67,0,68,0,69,0,69,0,,
94,77,95,1,94,0,94,684028,557192,95,0,97,0,191,1512000,92,0,93,0,94,0,92,100,93,0,93,0,94,0,94,0,,
207,77,207,1,202,0,206,547223,420387,207,0,207,0,293,1512000,193,0,194,0,203,0,192,80,194,0,195,0,204,0,205,0,,
244,77,244,1,298,0,299,465139,338303,300,0,301,0,394,1512000,295,1512000,297,0,298,0,295,45,297,23,297,0,299,0,299,0,,
299,77,300,1,398,0,399,478820,351984,400,0,400,0,494,1350000,396,1512000,397,0,399,0,396,45,397,25,398,0,399,0,399,0,,
399,77,400,1,498,0,499,391955,265119,500,0,500,0,594,1134000,496,1512000,498,0,499,0,496,45,497,20,498,0,499,0,499,0,,
499,77,500,1,599,0,600,94004,0,601,0,602,0,697,384000,597,1512000,599,0,600,0,596,22,598,0,599,0,600,0,600,0,,
601,77,601,1,712,0,718,36578,0,720,0,724,0,797,384000,704,384000,710,0,714,0,702,12,708,30,711,0,716,0,717,0,,
718,77,719,1,839,0,855,72285,0,861,0,862,0,897,1512000,803,384000,831,0,847,0,802,55,817,28,836,0,849,0,851,0,,
860,77,861,1,900,0,901,581424,454588,901,0,902,0,997,1512000,899,0,899,0,900,0,898,85,899,0,900,0,901,0,901,0,,
901,77,901,1,1000,0,1001,246250,119414,1001,0,1002,0,1098,1026000,999,0,1000,0,1000,0,999,36,999,0,1000,0,1001,0,1001,0,,
1001,77,1001,1,1102,0,1103,145774,18938,1104,0,1105,0,1198,1512000,1100,0,1101,0,1103,0,1100,40,1101,0,1102,0,1103,0,1103,0,,
1104,77,1104,1,1201,0,1202,273611,146775,1202,0,1203,0,1298,1512000,1200,0,1200,0,1201,0,1200,40,1200,0,1201,0,1202,0,1202,0,,
1202,77,1202,1,1301,0,1302,0,0,1302,0,1303,0,1400,384000,1300,0,1301,0,1302,0,1300,0,1300,0,1301,0,1302,0,1302,0,,
1302,77,1302,1,1438,0,1452,0,0,1461,0,1462,0,1500,1512000,1419,0,1427,0,1444,0,1413,0,1422,0,1434,0,1446,0,1448,0,,
1454,77,1460,1,1502,0,1503,595105,468269,1504,0,1504,0,1600,1512000,1501,0,1502,0,1503,0,1501,87,1502,0,1502,0,1503,0,1503,0,,
1503,77,1503,1,1603,0,1604,273611,146775,1604,0,1604,0,1701,1026000,1602,0,1602,0,1603,0,1601,40,1602,0,1603,0,1603,0,1603,0,,
1604,77,1604,1,1705,0,1710,120263,0,1711,0,1712,0,1801,1512000,1703,0,1704,0,1707,0,1703,33,1704,0,1704,0,1709,0,1709,0,,
1711,77,1711,1,1804,0,1804,307812,180976,1805,0,1806,0,1901,1512000,1802,0,1803,0,1804,0,1802,45,1803,0,1803,0,1804,0,1804,0,,
1804,77,1805,1,1904,0,1905,184687,57851,1908,0,1909,0,2002,384000,1903,0,1903,0,1904,0,1902,27,1903,0,1904,0,1904,0,1905,0,,
1905,77,1905,1,2031,0,2044,23514,0,2048,0,2062,0,2102,1512000,2015,0,2023,0,2039,0,2008,27,2021,0,2029,0,2041,0,2044,0,,
2047,77,2047,1,2106,0,2107,567743,440907,2108,0,2108,0,2202,1512000,2104,0,2104,0,2106,0,2104,83,2104,0,2105,0,2106,0,2107,0,,
2107,77,2107,1,2206,0,2207,225729,98893,2208,0,2209,0,2303,1026000,2204,0,2205,0,2206,0,2204,33,2204,0,2206,0,2207,0,2207,0,,
2208,77,2208,1,2311,0,2312,134841,8005,2325,0,2326,0,2403,1512000,2307,0,2310,0,2311,0,2306,37,2309,0,2310,0,2311,0,2312,0,,
2312,77,2313,1,2407,0,2409,307812,180976,2409,0,2410,0,2504,1512000,2405,0,2406,0,2408,0,2405,45,2406,0,2407,0,2408,0,2408,0,,
2409,77,2409,1,2512,0,2518,136805,9969,2522,0,2524,0,2604,1512000,2508,0,2509,0,2514,0,2507,20,2509,0,2510,0,2517,0,2518,0,,
2520,77,2521,1,2607,0,2608,492500,365664,2608,0,2608,0,2704,1512000,2606,0,2606,0,2607,0,2605,72,2606,0,2606,0,2607,0,2607,0,,
2608,77,2608,1,2707,0,2708,136805,9969,2708,0,2709,0,2805,1026000,2706,0,2706,0,2707,0,2706,20,2706,0,2707,0,2708,0,2708,0,,
2708,77,2708,1,2809,0,2810,145774,18938,2811,0,2812,0,2906,384000,2807,0,2808,0,2809,0,2807,40,2808,0,2809,0,2810,0,2810,0,,
2810,77,2811,1,2931,0,2947,34836,0,2954,0,2961,0,3006,1512000,2914,0,2923,0,2937,0,2912,40,2917,0,2925,0,2938,0,2941,0,,
2948,77,2951,1,3009,0,3009,526702,399866,3010,0,3010,0,3106,1512000,3007,0,3008,0,3009,0,3007,77,3008,0,3008,0,3009,0,3009,0,,
3009,77,3010,1,3109,0,3110,95764,0,3110,0,3110,0,3208,1026000,3108,0,3108,0,3109,0,3107,14,3108,0,3109,0,3109,0,3110,0,,
3110,77,3110,1,3212,0,3214,91108,0,3214,0,3216,0,3309,384000,3211,0,3212,0,3213,0,3210,25,3211,0,3212,0,3213,0,3214,0,,
3214,77,3214,1,3345,0,3361,9580,0,3370,0,3371,0,3408,1512000,3324,0,3335,0,3349,0,3314,11,3334,0,3341,0,3356,0,3360,0,,
3363,77,3370,1,3411,0,3412,526702,399866,3412,0,3413,0,3509,1512000,3410,0,3411,0,3412,0,3410,77,3410,0,3411,0,3412,0,3412,0,,
3412,77,3412,1,3512,0,3512,171007,44171,3513,0,3513,0,3610,486000,3510,0,3511,0,3512,0,3510,25,3511,0,3511,0,3512,0,3512,0,,
3513,77,3513,1,3623,0,3626,65773,0,3628,0,3630,0,3717,384000,3616,384000,3621,0,3624,0,3614,33,3620,30,3622,0,3625,0,3625,0,,
3627,77,3627,1,3731,0,3734,72285,0,3736,0,3737,0,3819,384000,3723,384000,3729,0,3732,0,3722,50,3728,33,3730,0,3733,0,3734,0,,
3735,77,3735,1,3836,0,3842,52254,0,3869,0,3872,0,3918,1512000,3827,384000,3833,0,3837,0,3825,40,3832,20,3834,0,3839,0,3841,0,,
3867,77,3868,1,3922,0,3922,1149168,1022332,3923,0,3923,0,4018,1350000,3920,1512000,3921,0,3922,0,3919,80,3921,88,3921,0,3922,0,3885,1,started,
3923,77,3923,1,4022,0,4023,350469,223633,,,,,,,4020,1512000,4021,0,4022,0,4020,22,4021,33,4022,0,4023,0,3922,1,started,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3948,0,stopped,

System Statistics:
Sensor Id,Name,Type,Average
205,"Battery Remaining (%)",Battery Remaining [%],77.0
206,"Battery Status",Battery Status,1.0
331,"Screen Brightness",Brightness,0.0
332,"Battery Power*",Power [uW],164628.29268292684
400,"GPU Frequency",GPU Frequency [KHz],0.0
401,"GPU Load",GPU Load [%],0.0
1000,"CPU1 Frequency",CPU Frequency [kHz],1162975.6097560977
1001,"CPU2 Frequency",CPU Frequency [kHz],268097.56097560975
1002,"CPU3 Frequency",CPU Frequency [kHz],0.0
1003,"CPU4 Frequency",CPU Frequency [kHz],0.0
1096,"CPU1 Load",CPU Load [%],42.8780487804878
1097,"CPU2 Load",CPU Load [%],8.048780487804878
1098,"CPU3 Load",CPU Load [%],0.0
1099,"CPU4 Load",CPU Load [%],0.0

Application State Statistics:
App State 0,"App State 0",Start Time: 0.00 s,End Time: 3.88 s
Sensor Id,Name,Type,Average
205,"Battery Remaining (%)",Battery Remaining [%],77.0
206,"Battery Status",Battery Status,1.0
331,"Screen Brightness",Brightness,0.0
332,"Battery Power*",Power [uW],144836.7105263158
400,"GPU Frequency",GPU Frequency [KHz],0.0
401,"GPU Load",GPU Load [%],0.0
1000,"CPU1 Frequency",CPU Frequency [kHz],1169368.4210526317
1001,"CPU2 Frequency",CPU Frequency [kHz],199578.94736842104
1002,"CPU3 Frequency",CPU Frequency [kHz],0.0
1003,"CPU4 Frequency",CPU Frequency [kHz],0.0
1096,"CPU1 Load",CPU Load [%],42.526315789473685
1097,"CPU2 Load",CPU Load [%],4.973684210526316
1098,"CPU3 Load",CPU Load [%],0.0
1099,"CPU4 Load",CPU Load [%],0.0
App State 1,"started",Start Time: 3.88 s,End Time: 3.95 s
Sensor Id,Name,Type,Average
205,"Battery Remaining (%)",Battery Remaining [%],77.0
206,"Battery Status",Battery Status,1.0
331,"Screen Brightness",Brightness,0.0
332,"Battery Power*",Power [uW],0.0
400,"GPU Frequency",GPU Frequency [KHz],0.0
401,"GPU Load",GPU Load [%],0.0
1000,"CPU1 Frequency",CPU Frequency [kHz],948000.0
1001,"CPU2 Frequency",CPU Frequency [kHz],948000.0
1002,"CPU3 Frequency",CPU Frequency [kHz],0.0
1003,"CPU4 Frequency",CPU Frequency [kHz],0.0
1096,"CPU1 Load",CPU Load [%],60.0
1097,"CPU2 Load",CPU Load [%],20.0
1098,"CPU3 Load",CPU Load [%],0.0
1099,"CPU4 Load",CPU Load [%],0.0
App State 0,"stopped",Start Time: 3.95 s,End Time: 4.02 s
Sensor Id,Name,Type,Average
205,"Battery Remaining (%)",Battery Remaining [%],77.0
206,"Battery Status",Battery Status,1.0
331,"Screen Brightness",Brightness,0.0
332,"Battery Power*",Power [uW],622982.5
400,"GPU Frequency",GPU Frequency [KHz],0.0
401,"GPU Load",GPU Load [%],0.0
1000,"CPU1 Frequency",CPU Frequency [kHz],1350000.0
1001,"CPU2 Frequency",CPU Frequency [kHz],1512000.0
1002,"CPU3 Frequency",CPU Frequency [kHz],0.0
1003,"CPU4 Frequency",CPU Frequency [kHz],0.0
1096,"CPU1 Load",CPU Load [%],22.0
1097,"CPU2 Load",CPU Load [%],60.5
1098,"CPU3 Load",CPU Load [%],0.0
1099,"CPU4 Load",CPU Load [%],0.0

